姓名,城市,科室,职称,主执业医院,出诊医院,专业特长,挂号费,出诊时间,信息来源网址
杜忠东,北京市,小儿心血管内科,主任医师 · 双语,,北京新世纪儿童医院,擅长川崎病及川崎病合并管状动脉瘤、小儿心肌炎及心肌病、小儿心律失常、先天性心脏病、晕厥及小儿心力衰竭等小儿心血管内科疾病的诊治。 毕业于首都医科大学儿科学系，获小儿心血管专业医学博士。于北京儿童医院从事小儿内科临床工作二十余年。 卫生部《中国临床医师》杂志编委会副主任、香港《儿科大查房》副主编、《中华医学杂志》英文版、《中华儿科杂志》、《中国实用儿科杂志》、《中华实用儿科临床杂志》、《中国循证儿科杂志》、《British Medical Journal》中文版等13本杂志编委。《Pediatric Infectious Disease Journal》、《European Journal of,¥900,周三 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1533177605288510
朱晓虹,北京市,小儿内科全科,资深医师,,北京新世纪儿童医院,毕业于张家口医学院医疗系，获学士学位。  从事儿科临床工作三十余年。  擅长小儿内科门急诊常见疾病的诊断和治疗，在小儿呼吸系统、消化系统疾病有丰富的诊治经验。,¥700-900,周六、周日 (上午 08:00-12:00，下午 12:00-18:00，夜间 18:00-23:50),https://m.doctorpanda.com/doctor/1479791242187708
郭改丽,北京市,小儿内科全科,副主任医师·双语,,北京新世纪儿童医院,硕士学位，毕业于首都医科大学。在北京儿童医院和中国医学科学院阜外医院参加儿科临床工作多年，对于常见儿童过敏性疾病有着丰富的经验。现任中国医师协会儿科学分会委员。 擅长过敏性咳嗽、支气管哮喘、变应性鼻炎、花粉过敏症、食物过敏、婴幼儿反复喘息、慢性咳嗽、反复呼吸道感染等疾病。,¥700-900,周一、周二、周三、周四、周日 (上午 08:00-12:00，下午 12:00-18:00，夜间 18:00-23:50),https://m.doctorpanda.com/doctor/1542273289822202
李蕾,北京市,小儿内科全科,资深医师,,北京新世纪儿童医院,毕业于首都医科大学儿科系，获得学士学位。  从事儿科临床工作近二十年。  擅长小儿内科全科常见疾病，包括新生儿疾病，呼吸系统疾病，消化系统疾病等的诊断和治疗。,¥700-900,周一、周二、周四、周五、周六 (上午 08:00-12:00，下午 12:00-18:00，夜间 18:00-23:50),https://m.doctorpanda.com/doctor/1479790548318840
尹巧绵,北京市,小儿内科全科,资深医师,,北京新世纪儿童医院,毕业于河北医科大学临床儿科系、首都医科大学临床儿科系，获硕士学位（呼吸专业）。 擅长呼吸系统，哮喘过敏疾病，及小儿内科全科常见疾病，包括新生儿疾病、消化系统、小儿常见传染病等的诊断和治疗。,¥700-900,周一、周二、周三、周四、周五、周六、周日 (上午 08:00-12:00，下午 12:00-18:00，夜间 18:00-23:50),https://m.doctorpanda.com/doctor/1489041474550571
仇佳晶,北京市,小儿内科全科,资深医师 · 双语,,北京新世纪儿童医院,毕业于首都医科大学儿科学、协和医科大学儿科学，获博士学位。 从事儿科临床工作二十余年。 擅长小儿内科全科疾病，在小儿肾脏和儿童免疫疾病具有丰富的诊治经验。,¥700-900,周一、周三、周四、周日 (上午 08:00-12:00，下午 12:00-18:00，夜间 18:00-23:50),https://m.doctorpanda.com/doctor/1610002167149447
王芳,北京市,小儿内科全科,资深医师,,北京新世纪儿童医院,毕业于华北煤炭医学院临床专业儿科系，获学士学位。  从事儿科临床工作二十年。  擅长小儿内科全科门急诊常见疾病，包括新生儿疾病，血液系统，呼吸系统，消化系统常见病及多发病的诊断和治疗。,¥700-900,周二、周三、周四、周五、周日 (上午 08:00-12:00，下午 12:00-18:00，夜间 18:00-23:50),https://m.doctorpanda.com/doctor/1563865487881376
李娜,北京市,小儿内科全科,资深医师,,北京新世纪儿童医院,毕业于河北医科大学中西医临床专业，获学士学位。  从事儿科临床工作十余年。  擅长小儿内科全科疾病，包括新生儿疾病、呼吸系统、消化系统及其它小儿常见病及多发病的诊断和治疗。,¥700-900,周一、周二、周三、周四、周五、周六 (上午 08:00-12:00，下午 12:00-18:00，夜间 18:00-23:50),https://m.doctorpanda.com/doctor/1542273463757137
洪亮,北京市,小儿内科全科,资深医师 · 双语,,北京新世纪儿童医院,先后毕业于复旦大学上海医学院和首都医科大学，获硕士学位。 曾就职于三甲医院儿科。从事儿科临床工作十余年。 擅长儿内科门急诊常见疾病、呼吸系统疾病、消化系统疾病的诊断和治疗。,¥700-900,周一、周二、周三、周五、周日 (上午 08:00-12:00，下午 12:00-18:00，夜间 18:00-23:50),https://m.doctorpanda.com/doctor/1722827762421164
王阳,北京市,小儿心血管内科,主任医师 · 双语,,北京新世纪儿童医院,对小儿获得性心脏病具有深入的研究及临床医治经验，擅长川崎病、心律失常、心肌病、心肌心包炎、感染性心内膜炎、风心病等小儿心血管内科疾病的诊治。近15年间，成功医治川崎病患儿近两千余例，川崎病患儿随访万余例。对危重、复杂川崎病如：川崎休克综合征、川崎病合并冠脉瘤、合并血栓、合并重症心肌炎、合并耳聋等各类川崎病并发症具有深入专业研究和成功救治经验，对川崎病的远期随访具有非常丰富的经验。同时在医治心肌炎、心律失常方面见识显著。在北京儿童医院心血管中心工作期间曾参与并成功抢救暴发性心肌炎、严重室性及室上性心动过速、III度房室传导阻滞等危重患儿。 毕业于首都医科大学，获硕士学位。现任北京新世纪儿童医院住,¥900,周二、周三、周四 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1479261978897419
黄敏杰,北京市,小儿内科全科,资深医师,,北京新世纪儿童医院,毕业于承德医学院，临床医学专业本科。 从事儿科临床工作二十余年。 擅长小儿内科全科常见疾病和多发病的诊断和治疗。,¥700-900,周五、周六、周日 (上午 08:00-12:00，下午 12:00-18:00，夜间 18:00-23:50),https://m.doctorpanda.com/doctor/1686642498438250
闫慧敏,北京市,小儿中医科,主任医师,,北京新世纪儿童医院,擅长小儿胃炎、幽门螺杆菌感染、消化性溃疡、腹泻、腹痛、厌食、呕吐、便秘、体弱消瘦、反复呼吸道感染、咳嗽、咳喘、哮喘等疾病的诊治。 北京中医药大学毕业，硕士学位。从事中医、中西医结合临床工作四十余年。 世界中医药联合会儿科分会副会长;世界中医药联合会中药上市后再评价专业委员会常务理事;中华中医药学会儿科分会第三、第四、第五届副主任委员;中华中医药高等教育学会儿科分会副理事长;北京中西医结合学会儿科分会主任委员;北京中医学会儿科分会副主任委员;北京中医学会急诊委员会及医院管理委员会委员;中华中医药学会科学技术奖评审专家;中华医学会科学技术奖评审专家;北京市高级职称评审委员会委员。是《北京中医药》、,¥900,周四 (上午 08:00-12:00，下午 13:00-18:00),https://m.doctorpanda.com/doctor/1533118567358717
申昆玲,北京市,小儿呼吸/哮喘科,主任医师 · 双语,,北京新世纪儿童医院,"于北京儿童医院工作四十余年。 现任中华医学会儿科学分会主任委员、国际儿科学会常务委员、亚洲儿科学会常务委员、中国医师协会儿科医师分会副会长、中华医学会儿科学分会呼吸专业组组长、卫生部第十届药典委员会委员、中国医师协会呼吸医师分会常务委员、中国医师协会理事、北京女医师协会副会长、北京医师协会儿科专业专家委员会副主任委员、国家呼吸系统疾病临床医学研究中心主任等职，并担任《Pediatric Allergy, Immunology and Pulmonology》、《Pediatric Infectious Disease Journal》、《中国实用儿科杂志》、《临床儿科杂志》、《中国医学论坛报》",¥1200,周二 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1533113923285309
刘世琳,北京市,耳鼻喉科,主任医师,,北京新世纪儿童医院,从事小儿耳鼻喉疾病的诊断治疗及手术30年，并侧重小儿听力语言疾病的治疗研究。 擅长各类小儿耳鼻咽喉科常见病，如中耳炎，腺样体、扁桃体肥大，鼻炎，听力语言障碍、急慢性扁桃体炎、鼻炎、过敏性鼻炎、鼻窦炎、耳前瘘管感染等。,¥900,周三 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1533027815920573
赵京,北京市,小儿呼吸/哮喘科,主任医师 · 双语,,北京新世纪儿童医院,首都儿科研究所工作30余年。 擅长过敏性哮喘、过敏性鼻炎、湿疹、食物过敏。,¥1200,周三 (上午 08:00-12:00，下午 12:00-17:00),https://m.doctorpanda.com/doctor/1533100258453826
邹凌云,北京市,皮肤科,主任医师,,北京新世纪儿童医院,毕业于华中科技大学附属同济医学院，获硕士学位。 从事皮肤科临床工作二十余年，曾于北京航天中心医院工作多年，现任北京新世纪儿童医院皮肤科主任。 对皮肤科常见病及疑难病的诊治有丰富的临床经验。擅长过敏性疾病（如急慢性湿疹、荨麻疹、药疹）、病毒性疾病（如风疹、麻疹、水痘、带状疱疹）、色素痣、血管瘤、痤疮及腋臭的诊断及治疗，对于痤疮的综合治疗（果酸、光电、光动力）及疤痕激光治疗等方面也有较深入的研究。,¥700,周一、周二、周三、周四、周五、周日 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1479790390828350
刘慧丽,北京市,小儿妇科（中医）,主任医师,,北京新世纪儿童医院,女童外阴阴道炎、女童外阴营养不良（外阴白斑）、女童性早熟、情感交叉擦腿综合征、月经不调、青春期功血、痛经。 北京中医药学院毕业，学士学位。北京儿童医院工作近四十年。 中华中医药学会妇科分会委员会委员；北京中医药学会妇科分会委员会副主任委员；首都医科大学妇产科学系系务委员会委员；北京市卫生系列高级专业技术职务任职资格评审专家库专家。,¥900,周三 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1533110987252706
宋宏程,北京市,小儿泌尿外科,主任医师 · 双语,,北京新世纪儿童医院,擅长泌尿系畸形，尿道下裂，肾积水，输尿管远端梗阻，膀胱输尿管返流，尿道外伤，泌尿系肿瘤，性别畸形，重肾输尿管囊肿及输尿管开口异位，小儿下尿路梗阻，神经源性膀胱，泌尿系结石，膀胱憩室，前列腺憩室，肾发育不良，膀胱外翻，隐睾，包茎，鞘膜积液，精索静脉曲张，腹股沟疝，隐匿阴茎等小儿泌尿外科常见病多发病的诊治。 首都医科大学 博士研究生 主任医师、副教授、硕士研究生导师。 于北京儿童医院泌尿外科从事临床工作二十余年。,¥900,周一 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1533110136606642
袁越,北京市,小儿心血管内科,主任医师 · 双语,,北京新世纪儿童医院,擅长儿童心内科疾病的诊治，对各种类型心律失常、心肌炎、心肌病、心肌损害、川崎病、冠脉病变、高血压、心力衰竭、风湿热、感染性心内膜炎、血管迷走性晕厥、心包疾病、心内电生理、小儿射频消融术、起搏器治疗等疾病，尤其是疑难疾病积累了大量临床经验。擅长儿童心律失常的介入治疗射频消融，率先在全国突破了儿童射频的零曝光，处于国际领先地位，完成介入射频消融千余例。 毕业于首都医科大学，获硕士学位。从事小儿心血管内科临床工作三十余年。 中华医学会心电生理和起搏分会小儿心律失常学工作委员会委员； 中国医师协会先天性心脏病专业委员会委员； 中国医师协会儿科医师分会晕厥专业委员会常委； 北京医学会儿科学分会小儿心血管,¥900,周一、周三 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1571214225655021
王惠玲,北京市,小儿消化科,副主任医师,,北京新世纪儿童医院,首都医科大学儿科系毕业，学士学位。于北京儿童医院从事儿科临床工作三十余年。 擅长婴儿腹泻病、小儿胃炎、胃食管返流病、小儿消化性溃疡病、婴儿肝炎综合征、小儿溃疡性结肠炎、克罗恩病、小儿急慢性胰腺炎、迁延性腹泻病、小儿腹痛、小儿便血、小儿中毒型痢疾、急性出血坏死性小肠炎。,¥900,周二、周日 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1533111621353116
李明磊,北京市,小儿泌尿外科,主任医师 · 双语,,北京新世纪儿童医院,首都医科大学儿科系毕业，医学博士。从事小儿泌尿外科临床工作二十余年。中华医学会小儿外科分会内镜组委员、北京医学会罕见病分会第二届委员会泌尿学组委员、中华医学会男科学分会第七届委员会儿童男科学组委员。 小儿泌尿系畸形，尿道下裂，肾积水，输尿管远端梗阻，膀胱输尿管返流，尿道外伤，泌尿系肿瘤，性别畸形，重肾输尿管囊肿及输尿管开口异位，小儿下尿路梗阻，神经源性膀胱，泌尿系结石，膀胱憩室，前列腺憩室，肾发育不良，膀胱外翻，隐睾，包茎，鞘膜积液，精索静脉曲张，腹股沟疝，隐匿阴茎的诊治。,¥900,周五 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1533109983688350
王晓纯,北京市,儿童营养与喂养门诊,营养师 · 双语,,北京新世纪儿童医院,"美国明尼苏达大学营养学硕士；获得美国注册营养医师执照。现任中国妇幼保健协会围产营养与代谢专业委员会委员。出版《宝宝常见病预防调理食谱》,参与编著《儿童健康百科》。 曾工作于美国Unity医院。现工作于北京新世纪儿童医院、北京新世纪妇儿医院和怡德医院。擅长儿童营养不良、食物过敏、身高促进、体重管理、血糖管理等。",¥700,周一、周二、周三、周四、周五、周日 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1483441303529050
王燕妮,北京市,小儿整形外科,主任医师,,北京新世纪儿童医院,2007年本硕连读毕业于中南大学湘雅医学院临床医学专业。毕业后至今就职于首都医科大学附属北京儿童医院。 擅长烧伤方面：儿童重症烧烫伤、外伤、电击伤救治，营养支持，皮肤软组织蜂窝织炎，坏死性筋膜炎；整形方面：先天性并指、多指、巨指、拇指发育不良等手足畸形，血管瘤、血管畸形、淋巴管瘤、淋巴水肿等脉管畸形，各类体表良恶性肿物切除修复，先天性面部畸形如面裂、唇裂、鼻裂、眼睑下垂、小耳畸形、小下颌畸形，颅缝早闭等。各类创面修复、瘢痕整形及功能康复训练。,¥900,周四 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1560323119941582
张志苓,北京市,口腔牙体牙髓病门诊,副主任医师,,北京新世纪儿童医院,获首都医科大学硕士学位。2001-2002及2009-2010年赴日本松本齿科大学小儿齿科学习。 中华医学会儿科分会口腔医学组青年委员、北京口腔医学会牙体牙髓专科委员会委员、北京市口腔医学会儿童口腔专科委员会委员。 从事儿童口腔诊疗工作二十余年，对儿童牙病的治疗及预防及口腔粘膜病有着丰富的诊疗经验。 擅长儿童乳牙期、替牙期、恒牙期出现的各种牙体牙髓病、牙外伤、年轻恒牙的根尖诱导、0-12岁口腔卫生保健指导，儿童口腔黏膜病的治疗、全麻下儿童牙病的一次性治疗，患有全身疾病儿童口腔疾病的诊治等。,¥300,周五 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1594889329950727
刘晓灵,北京市,小儿呼吸/哮喘科,主任医师,,北京新世纪儿童医院,首都医科大学儿科系毕业，在北京儿童医院从事小儿内科临床及教学工作30余年，在小儿内科常见疾病、儿童结核病、呼吸系统常见疾病的诊断、鉴别诊断及治疗方面积累了丰富的临床经验。 擅长儿童结核病：结核性脑膜炎，儿童肺结核，儿童肺外结核 儿童呼吸系统常见病：呼吸道感染，气管支气管炎，肺炎，哮喘。,¥900,周五 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1533114193109292
孙玉娟,北京市,皮肤科,副主任医师,,北京新世纪儿童医院,从事小儿皮肤科临床工作近三十年。中华医学会北京中西医结合学会皮肤性病专业委员会毛发学组委员。擅长儿童皮肤病、血管瘤综合治疗，并负责血管瘤专业门诊和皮肤病的激光治疗。 对儿童常见皮肤疾病临床诊断治疗经验丰富，尤其擅长激光治疗血管性、色素性皮肤病及儿童斑秃、指甲病变的诊断治疗。,¥900,周四 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1533098503421323
赵红晶,北京市,口腔牙体牙髓病门诊,资深医师,,北京新世纪儿童医院,毕业于哈尔滨医科大学，获正畸硕士专业学位。 从事口腔正畸工作十余年。 中华口腔医学会会员。 多次应邀参加国内及国外权威正畸学术交流和高峰论坛。 擅长儿童、青少年各类牙列畸形的隐形矫正技术和常规固定矫正技术，儿童早期矫正，功能性矫正，正畸修复联合治疗。熟练掌握各类儿童口腔常见疾病：如牙病的预防、儿童龋病、牙髓病、根尖周病的治疗。具有良好的儿童沟通能力。,¥300,周二、周三、周四、周五、周六 (上午 08:00-12:00，下午 12:20-20:00),https://m.doctorpanda.com/doctor/1642421696415048
屈彦超,北京市,小儿泌尿外科,主任医师,,北京新世纪儿童医院,对于小儿泌尿外科常见疾病手术治疗有着丰富的经验。擅长包茎，包皮炎，鞘膜积液，睾丸下降不全，睾丸肿瘤，肾脏肿瘤，尿道下裂，肾积水，肾盂输尿管扩张，膀胱输尿管反流，泌尿系感染，神经源性膀胱，尿道上裂，膀胱外翻等疾病的诊断和手术治疗。 毕业于首都医科大学，获博士学位。于北京儿童医院泌尿外科工作近二十年。,¥900,周一 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1594891513129045
涂绘玲,北京市,儿童生长发育门诊,副主任医师·双语,,北京新世纪儿童医院,毕业于北京大学医学部，获儿科学专业博士学位。 现任新世纪医疗北京地区儿童健康发展中心医疗总监，曾于北医三院儿科工作十余年。 擅长儿童保健、生长发育和小儿消化科各类疾病的诊治。 1.儿童保健：擅长儿童生长发育评估、儿童语言发育评估、儿童注意力发育评估、正常儿童和特殊儿童预防接种、儿童营养、疾病预防和家庭养育指导等。 2.小儿消化科：擅长儿童胃肠道疾病和胃肠道功能失调等的诊疗，包括各类小儿过敏性胃肠疾病、小儿急、慢性、迁延性腹泻，小儿肠道菌群失调、小儿慢性胃炎、溃疡病，小儿复发性腹痛及呕吐、便血等病症。,¥900,周一、周二、周三、周四、周五 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1632447420138746
刘亚丹,北京市,眼科,主任医师,,北京新世纪儿童医院,毕业于河北医科大学，获眼科硕士学位。 现任北京新世纪儿童医院眼科主任。曾先后于北京同仁医院、解放军总医院301、307医院等公立三甲医院眼科工作二十余年。 擅长儿童眼科疾病的诊治，包括儿童屈光不正、斜弱视、角膜塑形镜验配、儿童眼表疾病及干眼症眼外伤急救及治疗等。,¥900,周二、周三、周四、周五、周日 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1479790574371893
向莉,北京市,小儿呼吸/哮喘科,主任医师 · 双语,,北京新世纪儿童医院,擅长支气管哮喘、过敏性鼻炎、食物过敏、花粉症、婴幼儿反复咳喘、咳嗽变异性哮喘、慢性咳嗽、荨麻疹等儿童变态反应性疾病的诊治。管理气道过敏性疾病患儿数千例。 毕业于北京医科大学，获首都医科大学儿科学博士学位。从事儿科临床工作二十余年，包括儿童哮喘和过敏性疾病、儿童肺功能领域的临床和基础研究等。 中华预防医学会过敏病预防与控制专业委员会副主任委员; 中华医学会儿科学分会第十七届委员会互联网+委员会副主任委员; 中国医药教育协会儿科专业委员会常务委员兼副秘书长; 中国医师协会儿科医师分会儿童过敏专委会副主任委员; 中国医师协会变态反应医师分会委员; 北京医师协会变态反应专科医师分会副会长; 北京医学会,¥900,周三 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1533113292845265
李振武,北京市,小儿泌尿外科,主任医师,,北京新世纪儿童医院,擅长小儿泌尿外科常见疾病的诊断和手术治疗，如尿道下裂、肾积水、输尿管远端梗阻、膀胱输尿管返流、重肾输尿管囊肿及输尿管开口异位、泌尿系肿瘤及结石、腹股沟斜疝、鞘膜积液、隐睾、包茎等。毕业于首都医科大学，获硕士学位，曾赴美国费城儿童医院进修。从事小儿泌尿外科临床工作十余年。,¥900,上午 08:00-12:00，下午 13:00-17:00,https://m.doctorpanda.com/doctor/1594891705985331
陈珂,北京市,儿童生长发育门诊,资深医师,,北京新世纪儿童医院,安徽医科大学妇幼专业毕业，获学士学位。 曾就职于三甲医院儿童保健科。从事儿童保健工作近二十年。 任中国优生优育协会会员。 儿童生长发育、婴幼儿喂养及营养、婴幼儿早期教养、正常儿童心理发展、高危儿及发育迟缓儿童的评估及干预、儿童常见心理及行为问题的分析及指导、儿童智力评估及心理测量、儿童免疫规划。,¥700,周二、周三、周四、周五、周六 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1479790502070592
朱红,北京市,口腔正畸门诊,主任医师,,北京新世纪儿童医院,毕业于北京大学口腔医学院，1998年曾赴加拿大不列颠哥伦比亚儿童医院口腔科( British Columbia Children’ s Hospital )进修。 北京口腔医学会理事，北京口腔医学会儿童口腔专业委员会副主任委员，北京口腔正畸专业委员会常务委员，世界正畸联盟及国际儿童牙科学会会员，北京口腔医学会镇痛镇静专业委员会常务委员，北京慢病防治管理学会口腔专业委员会常务委员，首都医科大学口腔医学系系务委员。 从事儿童口腔疾病的诊治工作三十余年。曾担任北京儿童医院口腔科主任十余年。对各种类型的儿童口腔疾病的治疗有丰富的临床经验。 发表论文《31例儿童及青少年期含牙囊肿保守治疗临床观察》《儿童,¥300,周一 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1533097968316813
杜辉,北京市,口腔正畸门诊,副主任医师,,北京新世纪儿童医院,毕业于首都医科大学，获硕士学位。 北京口腔医学会正畸专委会常务委员、北京口腔医学会儿童口腔专业委员会常务委员、中华口腔医学会正畸专业委员会会员、世界正畸联盟及国际儿童牙科学会会员。 从事儿童口腔疾病的诊治工作三十余年。对各类儿童错颌畸形的诊治及各类儿童口腔粘膜病的诊治有着丰富的临床经验。 了解儿童心理，善于与患儿沟通。尤其擅长生长发育期儿童牙齿萌出异常的诊断及咬合诱导，青少年各类错颌畸形的诊治，埋伏牙牵引等复杂错颌畸形的诊断治疗，不良习惯的早期矫治，儿童乳牙外伤的固定治疗，及各类先天性颌面部畸形的术前术后正畸治疗等。,¥300,周二 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1533097682327214
邢嬛,北京市,皮肤科,主任医师,,北京新世纪儿童医院,擅长各类小儿皮肤科疾病的诊治，包括白癜风、无色素性痣、Ito色素减少症、白色糠疹、贫血痣、结节性硬化症的皮肤损害（叶状白斑、鲨革样斑等）、食物过敏、特应性皮炎（湿疹）、荨麻疹、丘疹性荨麻疹等。 首都医科大学儿科系毕业，硕士学位。从事小儿皮肤科临床工作二十余年。,¥900,上午 08:00-12:00，下午 13:00-17:00,https://m.doctorpanda.com/doctor/1533098717047686
王书琼,北京市,儿童生长发育门诊,资深医师,,北京新世纪儿童医院,毕业于四川大学临床医学专业，获学士学位。 于三级医院从事儿保及儿疾工作十余年。 擅长婴幼儿保健、小儿心理行为评估、营养指导、发育落后的干预指导以及常见疾病的诊治等。,¥700,周一 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1626315855926999
涂绘玲,北京市,语言评估门诊,副主任医师·双语,,北京新世纪儿童医院,毕业于北京大学医学部，获儿科学专业博士学位。 现任新世纪医疗北京地区儿童健康发展中心医疗总监，曾于北医三院儿科工作十余年。 擅长儿童保健、生长发育和小儿消化科各类疾病的诊治。 1.儿童保健：擅长儿童生长发育评估、儿童语言发育评估、儿童注意力发育评估、正常儿童和特殊儿童预防接种、儿童营养、疾病预防和家庭养育指导等。 2.小儿消化科：擅长儿童胃肠道疾病和胃肠道功能失调等的诊疗，包括各类小儿过敏性胃肠疾病、小儿急、慢性、迁延性腹泻，小儿肠道菌群失调、小儿慢性胃炎、溃疡病，小儿复发性腹痛及呕吐、便血等病症。,¥900,周一、周二、周三、周四、周五 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1632447420138746
张晶,北京市,肠道微生态管理门诊,主任医师 · 双语,,北京新世纪儿童医院,毕业于首都医科大学附属北京儿童医院，获博士学位。任国家儿童医学中心、首都医科大学附属北京儿童医院消化科副主任、内镜中心主任，从事儿科临床工作三十余年。擅长儿童幽门螺杆菌感染，消化性溃疡，胃炎，消化道出血，牛奶过敏性胃肠病，嗜酸性粒细胞胃肠炎，细菌性痢疾，慢性腹泻病，炎症性肠病，婴儿肝炎综合征，胆汁淤积性肝病，儿童偏食、儿童便秘，消化不良，肠易激综合征等方面具有丰富的临床经验。中华医学会肝病学分会遗传代谢性肝病协作组委员、中华医学会消化内镜学分会儿科协作组副组长、福棠儿童医学发展研究中心消化及消化内镜专业委员会副主任委员、中国学生营养与健康促进会肥胖防控分会副主任委员、中国妇幼保健协会儿童营养专,¥900,周四 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1676357004521859
肖静,北京市,小儿神经内科,主任医师,,北京新世纪儿童医院,首都医科大学儿科系毕业，获硕士学位。 曾于首都医科大学附属北京儿童医院工作二十余年。从事儿童神经内科临床工作三十余年。 擅长治疗小儿神经内科各种疾病，特别是小儿癫痫、小儿脑电图、抽动症方面有着丰富经验。,¥1200,周三、周五、周六 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1482827683813335
刘阳,北京市,口腔牙体牙髓病门诊,资深医师,,北京新世纪儿童医院,毕业于北京大学口腔医学院，获博士学位。于北京大学口腔医院从事儿童口腔专业的临床工作。擅长儿童口腔疾病的诊断、治疗和预防，儿童龋病、牙髓病、根尖周病的诊治，低龄儿童龋的管理，牙外伤的序列治疗，儿童牙列不齐的早期矫治等。对待患儿细致耐心，临床经验丰富。,¥300,周二、周六 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1628041765787985
毕萌,北京市,儿童生长发育门诊,资深医师,,北京新世纪儿童医院,毕业于天津医科大学预防医学专业，获学士学位。  曾就职于三级综合医院保健科。从事儿童保健工作十余年。  擅长儿童体格发育评估、儿童睡眠指导、婴幼儿营养及喂养指导以及儿童预防接种。,¥700,上午 08:00-12:00，下午 13:00-17:00,https://m.doctorpanda.com/doctor/1625124634458178
李华荣,北京市,皮肤科,资深医师,,北京新世纪儿童医院,从事小儿皮肤科临床工作二十余年。 擅长病毒感染性疾病及过敏性疾病等皮肤科常见病和多发病的治疗：对痤疮的综合治疗和儿童术后瘢痕及血管性疾病（如血管瘤和鲜红斑痣）、色素沉着性（如太田痣.咖啡斑.雀斑、黄褐斑）等疾病激光治疗经验丰富。,¥700,周二、周三、周五、周六 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1501837857031819
王书琼,北京市,特殊儿童疫苗接种门诊,资深医师,,北京新世纪儿童医院,毕业于四川大学临床医学专业，获学士学位。 于三级医院从事儿保及儿疾工作十余年。 擅长婴幼儿保健、小儿心理行为评估、营养指导、发育落后的干预指导以及常见疾病的诊治等。,¥700,周一 (上午 08:00-12:00，下午 13:00-17:00),https://m.doctorpanda.com/doctor/1626315855926999
赵红晶,北京市,口腔正畸门诊,资深医师,,北京新世纪儿童医院,毕业于哈尔滨医科大学，获正畸硕士专业学位。 从事口腔正畸工作十余年。 中华口腔医学会会员。 多次应邀参加国内及国外权威正畸学术交流和高峰论坛。 擅长儿童、青少年各类牙列畸形的隐形矫正技术和常规固定矫正技术，儿童早期矫正，功能性矫正，正畸修复联合治疗。熟练掌握各类儿童口腔常见疾病：如牙病的预防、儿童龋病、牙髓病、根尖周病的治疗。具有良好的儿童沟通能力。,¥300,周二、周三、周四、周五、周六 (上午 08:00-12:00，下午 12:20-20:00),https://m.doctorpanda.com/doctor/1642421696415048
齐翔,北京市,小儿神经外科,副主任医师,,北京新世纪儿童医院,1992年毕业于首都医科大学，于北京儿童医院从事神经外科专业。 擅长脑栓塞、脑出血、脑瘤（脑肿瘤、颅内肿瘤）、脊柱脊髓损伤、脊柱裂、强直性脊柱炎、外伤后头痛、脑积水、颅内占位性病变引起的头痛、颅内低压性头痛腰椎穿刺后头痛。,¥1200,周五 (上午 08:00-12:00，下午 12:00-17:00),https://m.doctorpanda.com/doctor/1533116404280409
